subject_id,video_id,rep_number,correctness_label,exercise_subtype,total_frames_in_rep,valid_frames_in_rep,spike_rate_pct,peak_flexion_deg,peak_extension_deg,rom_deg,peak_flexion_frame_in_rep,descent_frames,ascent_frames,tempo_ratio,total_rep_frames,peak_descent_velocity_deg_per_frame,peak_ascent_velocity_deg_per_frame,mean_descent_velocity_deg_per_frame,mean_ascent_velocity_deg_per_frame,jerk_proxy_std,phase_identification_status,visible_side_used
2,PM_021,1,1,front leg left,111,71,0.0,73.4101,149.6922,76.2821,72,,,,,,,,,0.4467,failed,left
2,PM_021,2,1,front leg left,120,103,0.0,83.5325,158.5789,75.0464,54,54.0,65.0,1.2037,119.0,-2.3956,4.8996,-0.9041,0.7367,0.489,ok,left
2,PM_021,3,1,front leg left,120,109,0.9174,79.9278,155.6655,75.7377,68,68.0,51.0,0.75,119.0,-3.2227,4.6694,-0.9775,1.4077,0.4489,ok,left
2,PM_021,4,1,front leg left,130,111,0.9009,78.3764,158.1248,79.7484,80,80.0,49.0,0.6125,129.0,-2.1963,5.1565,-0.7246,1.406,0.5335,ok,left
2,PM_021,5,1,front leg left,95,87,1.1494,83.6775,178.1374,94.4599,61,61.0,33.0,0.541,94.0,-2.4194,8.8691,-1.1273,2.4679,0.6039,ok,left
2,PM_021,6,0,front leg left,111,104,1.9231,51.6129,159.6002,107.9873,37,37.0,73.0,1.973,110.0,-6.7662,5.1062,-2.9531,1.1832,0.8455,ok,left
2,PM_021,7,0,front leg left,80,77,2.5974,54.6483,161.4877,106.8394,39,39.0,40.0,1.0256,79.0,-4.5364,10.1218,-2.319,2.7943,1.1314,ok,left
2,PM_021,8,0,front leg left,80,71,7.0423,54.5291,170.8567,116.3276,37,37.0,42.0,1.1351,79.0,-7.5781,6.9111,-2.5501,0.7122,1.4101,ok,left
2,PM_021,9,0,front leg left,80,68,1.4706,49.8297,166.8177,116.9881,32,32.0,46.0,1.4375,78.0,-5.6652,8.6006,-2.6208,1.0941,1.1983,ok,left
2,PM_021,10,0,front leg left,60,53,9.434,49.5473,177.1773,127.63,41,41.0,18.0,0.439,59.0,-7.0177,12.2978,-2.4045,2.8557,2.4552,ok,left
3,PM_028,1,0,front leg right,126,107,0.9346,105.2723,150.4173,45.145,63,63.0,56.0,0.8889,119.0,-0.916,1.9571,-0.3832,1.088,0.232,ok,right
3,PM_028,2,0,front leg right,151,107,13.0841,101.6123,147.5256,45.9133,49,40.0,101.0,2.525,141.0,-4.9338,12.1403,-1.1486,0.3041,2.5168,ok,right
3,PM_028,3,0,front leg right,146,126,3.1746,91.0194,161.2816,70.2622,70,70.0,73.0,1.0429,143.0,-1.9917,16.3707,-0.5602,0.6005,2.1474,ok,right
3,PM_028,4,0,front leg right,130,122,2.459,88.8786,131.1447,42.266,65,65.0,64.0,0.9846,129.0,-1.8301,2.3742,-0.6087,0.4492,0.2689,ok,right
3,PM_028,5,0,front leg right,140,133,2.2556,85.1952,141.8942,56.699,70,70.0,69.0,0.9857,139.0,-9.9193,2.4217,-0.8461,0.5142,0.82,ok,right
3,PM_028,6,0,front leg right,140,112,4.4643,82.051,152.0568,70.0058,79,79.0,60.0,0.7595,139.0,-9.1376,1.9135,-0.3424,0.549,1.5304,ok,right
3,PM_028,7,0,front leg right,101,90,6.6667,68.7476,133.3404,64.5927,50,50.0,50.0,1.0,100.0,-11.6514,11.7998,-1.6127,1.3879,1.7689,ok,right
3,PM_028,8,0,front leg right,105,73,12.3288,57.6053,129.0186,71.4134,56,,,,,,,,,1.3108,failed,right
3,PM_028,9,0,front leg right,95,72,5.5556,61.6154,135.615,73.9995,50,50.0,44.0,0.88,94.0,-3.1041,18.2304,-1.5567,1.7108,3.2984,ok,right
3,PM_028,10,0,front leg right,105,104,5.7692,58.6359,152.7967,94.1608,49,49.0,55.0,1.1224,104.0,-6.6847,7.7871,-1.5589,1.7189,1.4232,ok,right
3,PM_028,11,0,front leg right,88,83,2.4096,56.0461,152.6999,96.6539,51,51.0,36.0,0.7059,87.0,-5.4329,3.9742,-1.9116,2.0289,0.6609,ok,right
4,PM_037,1,1,front leg right,71,66,0.0,88.6395,126.2524,37.6129,41,41.0,29.0,0.7073,70.0,-2.2579,2.2157,-0.9174,0.7402,0.3908,ok,right
4,PM_037,2,1,front leg right,54,54,0.0,91.4859,122.8494,31.3634,30,30.0,23.0,0.7667,53.0,-2.3883,2.4782,-1.042,0.9099,0.3923,ok,right
4,PM_037,3,1,front leg right,59,53,0.0,82.3133,114.5184,32.2051,28,28.0,30.0,1.0714,58.0,-2.3631,2.5952,-1.1184,1.2185,0.3861,ok,right
4,PM_037,4,1,front leg right,59,56,0.0,85.2545,116.9157,31.6612,24,24.0,34.0,1.4167,58.0,-3.4265,2.7379,-1.0321,0.7988,0.5904,ok,right
4,PM_037,5,1,front leg right,53,49,0.0,84.2874,115.2725,30.9852,26,26.0,26.0,1.0,52.0,-2.6534,2.7328,-1.0241,1.3385,0.4053,ok,right
4,PM_037,6,0,front leg right,49,38,0.0,64.9464,107.9509,43.0045,22,22.0,26.0,1.1818,48.0,-3.7783,3.41,-2.1956,1.7713,0.6613,ok,right
4,PM_037,7,0,front leg right,61,49,0.0,73.9965,117.5012,43.5047,31,31.0,29.0,0.9355,60.0,-2.7123,3.7731,-0.9762,1.8041,0.4461,ok,right
4,PM_037,8,0,front leg right,62,52,1.9231,51.3677,124.1101,72.7424,33,33.0,28.0,0.8485,61.0,-5.1794,4.6699,-1.7511,2.6297,0.7104,ok,right
4,PM_037,9,0,front leg right,68,55,0.0,53.366,122.9353,69.5693,42,42.0,25.0,0.5952,67.0,-4.3541,4.2769,-1.5568,2.0753,0.4995,ok,right
4,PM_037,10,0,front leg right,62,43,2.3256,55.9113,137.8783,81.9669,33,,,,,,,,,1.0065,failed,right
5,PM_042,1,0,front leg right,97,69,1.4493,91.7296,174.1948,82.4652,55,44.0,41.0,0.9318,85.0,-4.3651,6.7997,-1.0753,1.6874,0.7542,ok,right
5,PM_042,2,1,front leg right,86,48,0.0,100.2838,178.9771,78.6932,28,,,,,,,,,0.65,failed,right
5,PM_042,3,1,front leg right,110,51,0.0,108.5122,179.4514,70.9392,60,,,,,,,,,0.4144,failed,right
5,PM_042,4,1,front leg right,91,38,0.0,97.568,174.9348,77.3668,27,,,,,,,,,1.0001,failed,right
5,PM_042,5,1,front leg right,95,37,0.0,86.2675,171.3498,85.0823,34,,,,,,,,,0.5795,failed,right
